127.0.0.1, 2017-03-20 09:06:09, GET, /admin/static/_2.14.6/js/typeahead.min.js, HTTP/1.1, 200, 0.000470
127.0.0.1, 2017-03-20 09:06:09, GET, /admin/static/_2.14.6/codemirror/addon/search/search.js, HTTP/1.1, 200, 0.025726
127.0.0.1, 2017-03-20 09:06:09, GET, /admin/static/_2.14.6/codemirror/addon/search/searchcursor.js, HTTP/1.1, 200, 0.025388
127.0.0.1, 2017-03-20 09:06:09, GET, /admin/static/_2.14.6/images/glyphicons-halflings.png, HTTP/1.1, 200, 0.000553
127.0.0.1, 2017-03-20 09:06:09, GET, /admin/static/_2.14.6/images/files_toggle.png, HTTP/1.1, 200, 0.000672
127.0.0.1, 2017-03-20 09:06:09, GET, /admin/default/edit/control_inventario_dw/models/menu.py, HTTP/1.1, 200, 0.056827
127.0.0.1, 2017-03-20 09:06:09, GET, /favicon.ico, HTTP/1.1, 400, 0.000363
127.0.0.1, 2017-03-20 09:06:09, GET, /admin/default/editor_sessions, HTTP/1.1, 200, 0.056021
127.0.0.1, 2017-03-20 09:06:09, GET, /admin/default/todolist.load, HTTP/1.1, 200, 0.092887
127.0.0.1, 2017-03-20 09:06:09, GET, /admin/static/_2.14.6/images/save_icon.png, HTTP/1.1, 200, 0.000575
127.0.0.1, 2017-03-20 09:06:09, POST, /admin/debug/list_breakpoints, HTTP/1.1, 200, 0.199024
127.0.0.1, 2017-03-20 09:06:09, GET, /control_inventario_dw/appadmin/hooks, HTTP/1.1, 200, 0.323871
127.0.0.1, 2017-03-20 09:06:09, GET, /admin/default/files_menu, HTTP/1.1, 200, 0.328614
127.0.0.1, 2017-03-20 09:07:05, POST, /admin/default/edit/control_inventario_dw/models/menu.py, HTTP/1.1, 200, 0.035017
127.0.0.1, 2017-03-20 09:07:08, GET, /control_inventario_dw/default/index, HTTP/1.1, 200, 0.359599
127.0.0.1, 2017-03-20 09:07:08, GET, /control_inventario_dw/static/images/favicon.ico, HTTP/1.1, 200, 0.000651
127.0.0.1, 2017-03-20 09:07:09, GET, /admin/default/todolist.load, HTTP/1.1, 200, 0.163426
127.0.0.1, 2017-03-20 09:07:10, GET, /control_inventario_dw/appadmin/hooks, HTTP/1.1, 200, 1.325663
127.0.0.1, 2017-03-20 09:07:12, GET, /control_inventario_dw/default/asd, HTTP/1.1, 404, 0.133528
127.0.0.1, 2017-03-20 09:07:12, GET, /favicon.ico, HTTP/1.1, 400, 0.000592
127.0.0.1, 2017-03-20 09:07:14, GET, /control_inventario_dw/default/index, HTTP/1.1, 200, 0.267538
127.0.0.1, 2017-03-20 09:08:09, GET, /admin/default/todolist.load, HTTP/1.1, 200, 0.147263
127.0.0.1, 2017-03-20 09:08:10, GET, /control_inventario_dw/appadmin/hooks, HTTP/1.1, 200, 1.318607
127.0.0.1, 2017-03-20 09:09:09, GET, /admin/default/todolist.load, HTTP/1.1, 200, 0.088888
127.0.0.1, 2017-03-20 09:09:10, GET, /control_inventario_dw/appadmin/hooks, HTTP/1.1, 200, 1.079442
127.0.0.1, 2017-03-20 09:10:10, GET, /admin/default/todolist.load, HTTP/1.1, 200, 0.155097
127.0.0.1, 2017-03-20 09:10:10, GET, /control_inventario_dw/appadmin/hooks, HTTP/1.1, 200, 1.065477
127.0.0.1, 2017-03-20 09:11:10, GET, /admin/default/todolist.load, HTTP/1.1, 200, 0.123742
127.0.0.1, 2017-03-20 09:11:10, GET, /control_inventario_dw/appadmin/hooks, HTTP/1.1, 200, 0.249037
127.0.0.1, 2017-03-20 09:12:10, GET, /admin/default/todolist.load, HTTP/1.1, 200, 0.119933
127.0.0.1, 2017-03-20 09:12:10, GET, /control_inventario_dw/appadmin/hooks, HTTP/1.1, 200, 0.228577
127.0.0.1, 2017-03-20 09:13:09, GET, /admin/default/todolist.load, HTTP/1.1, 200, 0.053405
127.0.0.1, 2017-03-20 09:13:10, GET, /control_inventario_dw/appadmin/hooks, HTTP/1.1, 200, 0.184658
127.0.0.1, 2017-03-20 09:14:09, GET, /admin/default/todolist.load, HTTP/1.1, 200, 0.075869
127.0.0.1, 2017-03-20 09:14:10, GET, /control_inventario_dw/appadmin/hooks, HTTP/1.1, 200, 0.222649
